Al,C,Co,Cr,Mn,Mo,N,Nb,Ni,Si,Ti,V,W,YieldStrength
1.04,0.04,0.01,12.46,0.01,2.24,0.0,0.01,8.34,0.01,0.01,0.01,0.0,1254.0
1.04,0.04,0.01,12.46,0.01,2.24,0.0,0.01,8.34,0.01,0.01,0.01,0.0,1254.0
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.07,0.04,0.01,12.49,0.01,2.23,0.0,0.01,8.3,0.01,0.01,0.01,0.0,1267.8
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1343.6
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1343.6
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1343.6
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1343.6
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1281.5
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1281.5
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1281.5
1.06,0.04,0.01,12.51,0.01,2.22,0.0,0.01,8.32,0.01,0.05,0.01,0.0,1281.5
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1371.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1371.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1371.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1371.1
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1378.0
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1378.0
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1378.0
1.02,0.04,0.01,12.49,0.01,2.21,0.0,0.01,8.3,0.01,0.09,0.01,0.0,1378.0
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1288.4
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1288.4
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1288.4
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1288.4
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1212.6
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1212.6
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1212.6
1.03,0.03,0.01,12.54,0.01,2.24,0.0,0.01,8.38,0.01,0.01,0.01,0.0,1212.6
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1288.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1288.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1288.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1288.4
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1260.9
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1260.9
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1260.9
1.05,0.03,0.01,12.57,0.01,2.22,0.01,0.01,8.29,0.01,0.01,0.01,0.0,1260.9
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1274.7
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1274.7
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1274.7
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1274.7
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1212.6
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1212.6
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1212.6
1.02,0.03,0.01,12.56,0.01,2.22,0.0,0.01,8.31,0.01,0.01,0.01,0.0,1212.6
0.1,0.0,4.3,14.3,0.01,2.6,0.0,0.01,8.3,0.01,0.49,0.01,0.0,1357.3
0.1,0.0,4.3,14.3,0.01,2.6,0.0,0.01,8.3,0.01,0.49,0.01,0.0,1343.6
0.12,0.0,4.3,14.3,0.01,2.5,0.0,0.01,8.4,0.01,0.47,0.01,0.0,1274.7
0.12,0.0,4.3,14.3,0.01,2.5,0.0,0.01,8.4,0.01,0.47,0.01,0.0,1274.7
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1688.1
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1522.7
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1508.9
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1612.3
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1543.4
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1653.6
0.43,0.0,7.48,11.85,0.01,1.47,0.0,0.01,10.25,0.01,0.56,0.01,0.0,1577.8
0.57,0.0,7.51,11.11,0.01,1.23,0.0,0.01,10.0,0.01,0.59,0.01,0.28,1722.5
0.57,0.0,7.51,11.11,0.01,1.23,0.0,0.01,10.0,0.01,0.59,0.01,0.28,1757.0
0.57,0.0,7.51,11.11,0.01,1.23,0.0,0.01,10.0,0.01,0.59,0.01,0.28,1743.2
0.57,0.0,7.51,11.11,0.01,1.23,0.0,0.01,10.0,0.01,0.59,0.01,0.28,1694.9
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1853.4
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1825.9
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1819.0
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1853.4
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1570.9
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1564.0
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1832.7
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1825.9
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1839.6
0.27,0.01,9.95,7.74,0.01,0.98,0.0,0.01,11.91,0.01,0.71,0.01,0.0,1812.1
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1743.2
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1743.2
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1867.2
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1750.1
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1708.7
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1874.1
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1750.1
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1743.2
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1757.0
0.39,0.01,10.48,8.14,0.01,0.02,0.0,0.01,11.95,0.01,1.11,0.01,0.0,1743.2
0.39,0.0,13.9,8.67,0.01,0.82,0.0,0.01,13.45,0.01,0.57,0.01,0.0,1660.5
0.39,0.0,13.9,8.67,0.01,0.82,0.0,0.01,13.45,0.01,0.57,0.01,0.0,1784.5
0.39,0.0,13.9,8.67,0.01,0.82,0.0,0.01,13.45,0.01,0.57,0.01,0.0,1763.8
0.43,0.01,9.24,8.84,0.01,1.19,0.0,0.01,10.81,0.01,0.57,0.41,0.0,1674.3
0.43,0.01,9.24,8.84,0.01,1.19,0.0,0.01,10.81,0.01,0.57,0.41,0.0,1846.5
0.43,0.01,9.24,8.84,0.01,1.19,0.0,0.01,10.81,0.01,0.57,0.41,0.0,1819.0
0.43,0.01,9.24,8.84,0.01,1.19,0.0,0.01,10.81,0.01,0.57,0.41,0.0,1681.2
0.01,0.23,13.45,3.12,0.01,1.2,0.0,0.01,11.03,0.02,0.01,0.01,0.0,1830.0
0.01,0.23,13.45,3.12,0.01,1.2,0.0,0.01,11.03,0.02,0.01,0.01,0.0,1805.9
0.01,0.21,13.48,3.11,0.01,1.19,0.0,0.01,11.11,0.01,0.01,0.01,0.0,1796.2
0.01,0.21,13.52,3.1,0.01,1.19,0.0,0.01,11.18,0.01,0.01,0.01,0.0,1792.1
0.01,0.21,13.48,3.11,0.01,1.19,0.0,0.01,11.11,0.01,0.01,0.01,0.0,1794.8
0.01,0.24,13.46,3.12,0.01,1.19,0.0,0.01,11.06,0.01,0.01,0.01,0.0,1802.4
0.01,0.23,13.48,3.11,0.01,1.19,0.0,0.01,11.26,0.01,0.01,0.01,0.0,1774.2
0.01,0.21,13.52,3.1,0.01,1.19,0.0,0.01,11.18,0.01,0.01,0.01,0.0,1792.1
0.01,0.24,13.46,3.12,0.01,1.19,0.0,0.01,11.06,0.01,0.01,0.01,0.0,1805.9
0.01,0.23,13.49,3.1,0.01,1.19,0.0,0.01,11.08,0.01,0.01,0.01,0.0,1761.1
0.01,0.23,13.48,3.11,0.01,1.19,0.0,0.01,11.26,0.01,0.01,0.01,0.0,1781.1
0.01,0.22,13.51,3.11,0.01,1.19,0.0,0.01,11.22,0.01,0.01,0.01,0.0,1729.4
0.01,0.23,13.49,3.1,0.01,1.19,0.0,0.01,11.08,0.01,0.01,0.01,0.0,1722.5
0.01,0.22,13.51,3.11,0.01,1.19,0.0,0.01,11.22,0.01,0.01,0.01,0.0,1757.6
0.01,0.23,13.46,3.11,0.01,1.18,0.0,0.01,11.16,0.01,0.01,0.01,0.0,1760.4
0.01,0.23,13.46,3.11,0.01,1.18,0.0,0.01,11.16,0.01,0.01,0.01,0.0,1732.8
0.08,0.01,0.01,0.01,0.01,1.0,0.0,0.01,18.1,0.01,1.8,0.01,0.0,1738.0
0.07,0.01,0.01,0.01,0.01,2.0,0.0,0.01,17.1,0.01,1.82,0.01,0.0,1875.0
0.12,0.01,0.01,0.01,0.01,2.1,0.0,0.01,17.5,0.01,2.0,2.0,0.0,1999.0
0.11,0.03,0.01,0.01,0.01,2.2,0.0,0.01,18.1,0.01,2.5,0.01,0.0,2006.0
0.08,0.02,0.01,0.01,0.01,0.64,0.0,0.01,17.8,0.01,2.03,0.01,0.0,1731.0
0.08,0.01,0.01,0.01,0.01,1.44,0.0,0.01,17.4,0.01,1.9,0.01,0.0,1393.0
0.05,0.0,0.01,0.01,0.01,3.1,0.0,0.01,18.1,0.01,1.4,0.01,0.0,1717.0
0.07,0.02,0.01,0.01,0.01,3.1,0.0,0.01,17.9,0.01,1.4,0.9,0.0,1731.0
0.09,0.02,0.01,0.01,0.01,0.02,0.0,0.01,17.5,0.01,2.06,1.9,0.0,1731.0
0.1,0.03,0.01,0.01,0.01,0.02,0.0,2.5,17.3,0.01,1.07,1.8,0.0,1731.0
0.12,0.02,0.01,0.01,0.01,1.4,0.0,0.01,15.3,0.01,2.1,0.01,0.0,1793.0
0.1,0.02,0.01,0.01,0.01,0.3,0.0,0.01,17.9,0.01,1.95,0.01,0.0,1675.0
0.1,0.02,0.01,0.01,0.01,2.0,0.0,0.01,15.7,0.01,1.98,0.01,0.0,1724.0
0.13,0.01,0.01,0.01,0.01,2.1,0.0,0.01,21.0,0.01,1.9,0.01,0.0,1662.0
0.12,0.02,6.9,0.01,0.01,5.1,0.0,0.01,18.6,0.01,0.64,0.01,0.0,1026.6
0.11,0.03,6.7,0.01,0.01,5.1,0.0,0.01,18.3,0.01,0.7,0.01,0.0,1109.3
0.16,0.04,8.0,0.01,0.01,6.0,0.0,0.01,18.8,0.01,0.42,0.01,0.0,1012.8
0.15,0.03,7.0,0.01,0.01,4.9,0.0,0.01,18.4,0.01,1.77,0.01,0.0,1233.3
0.12,0.02,6.7,0.01,0.01,5.1,0.0,0.01,18.6,0.01,0.89,0.01,0.0,1088.6
0.09,0.02,6.8,0.01,0.01,4.8,0.0,0.3,18.1,0.01,0.41,0.01,0.0,1005.9
0.09,0.02,6.2,5.0,0.01,4.8,0.0,0.01,11.1,0.01,0.82,0.01,0.0,1047.3
0.1,0.01,6.3,5.0,0.01,5.1,0.0,0.01,11.1,0.01,1.29,0.01,0.0,1123.1
0.09,0.01,6.2,5.0,0.01,5.0,0.0,0.01,11.2,0.01,1.81,0.01,0.0,1164.4
0.71,0.02,6.2,5.1,0.01,5.1,0.0,0.01,11.2,0.01,0.94,0.01,0.0,1074.8
0.71,0.02,6.2,5.1,0.01,5.1,0.0,0.01,11.2,0.01,0.94,0.01,0.0,1068.0
0.09,0.01,6.3,5.1,0.01,5.1,0.0,0.01,11.2,0.01,0.78,0.94,0.0,1033.5
0.09,0.01,6.3,5.1,0.01,5.1,0.0,0.01,11.2,0.01,0.78,0.94,0.0,1047.3
0.41,0.02,6.3,5.1,0.01,5.1,0.0,0.01,11.2,0.01,0.74,0.49,0.0,1116.2
0.41,0.02,6.3,5.1,0.01,5.1,0.0,0.01,11.2,0.01,0.74,0.49,0.0,1157.5
0.51,0.01,8.7,0.01,0.01,4.9,0.0,0.01,18.5,0.01,0.65,0.39,0.0,1164.4
0.39,0.01,8.7,0.01,0.01,4.8,0.0,0.01,17.0,0.01,0.67,0.34,0.0,1302.2
0.39,0.01,8.7,0.01,0.01,4.8,0.0,0.01,17.0,0.01,0.67,0.34,0.0,1302.2
0.39,0.01,8.7,0.01,0.01,4.8,0.0,0.01,17.0,0.01,0.67,0.34,0.0,1302.2
0.39,0.01,8.7,0.01,0.01,4.8,0.0,0.01,17.0,0.01,0.67,0.34,0.0,1281.5
0.39,0.01,8.7,0.01,0.01,4.8,0.0,0.01,17.0,0.01,0.67,0.34,0.0,1281.5
0.39,0.01,8.7,0.01,0.01,4.8,0.0,0.01,17.0,0.01,0.67,0.34,0.0,1254.0
0.95,0.01,8.7,0.01,0.01,4.8,0.0,0.01,18.5,0.01,0.72,0.43,0.0,1288.4
1.02,0.01,8.8,0.01,0.01,4.7,0.0,0.01,18.5,0.01,0.71,0.01,0.0,1309.1
0.36,0.02,8.7,0.01,0.01,4.8,0.0,0.01,14.9,0.01,0.71,0.26,0.0,1164.4
0.2,0.02,8.9,0.01,0.01,5.0,0.0,0.01,13.0,0.01,0.71,0.47,0.0,1061.1
0.6,0.01,9.1,0.01,0.01,5.1,0.0,0.01,15.3,0.01,0.68,0.01,0.0,1123.1
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1936.1
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1729.4
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1619.2
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1281.5
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1502.0
0.9,0.01,9.2,0.01,0.01,5.1,0.0,0.01,15.2,0.01,0.7,0.01,0.0,1412.5
0.5,0.04,8.8,0.01,0.01,5.0,0.0,0.2,15.0,0.01,0.24,0.01,0.0,1019.7
0.98,0.03,8.8,0.01,0.01,5.0,0.0,0.2,15.0,0.01,0.26,0.01,0.0,1026.6
0.48,0.02,8.9,0.01,0.01,5.0,0.0,0.2,14.6,0.01,0.2,0.43,0.0,1026.6
0.03,0.1,5.0,12.0,0.5,0.02,0.0,0.01,2.0,0.3,0.0,0.01,6.0,1269.0
0.03,0.1,5.0,12.0,0.5,0.02,0.0,0.01,2.0,0.3,0.0,0.01,6.0,1232.0
0.03,0.1,5.0,12.0,0.5,0.02,0.0,0.01,2.0,0.3,0.0,0.01,6.0,1342.9
0.03,0.12,4.0,12.02,0.54,3.01,0.05,0.41,2.0,1.2,0.0,0.35,0.0,1074.9
0.03,0.1,9.75,12.32,0.53,0.02,0.03,0.01,0.01,0.26,0.0,0.01,6.0,1232.0
0.03,0.1,10.2,12.19,0.62,6.15,0.03,0.01,0.01,0.37,0.0,0.01,0.0,1258.2
0.03,0.1,10.2,12.2,0.62,6.15,0.03,0.01,0.01,0.37,0.0,0.01,0.0,1258.2
0.03,0.1,5.0,12.0,0.5,0.02,0.0,0.01,2.0,0.3,0.0,0.01,6.0,1099.6
0.03,0.11,10.2,11.89,0.58,3.88,0.02,0.01,0.01,0.22,0.0,0.01,0.0,1096.5
0.03,0.04,10.0,12.0,0.44,6.16,0.03,0.01,0.01,0.32,0.0,0.01,0.0,1219.7
0.03,0.08,10.0,12.16,0.59,6.3,0.05,0.01,0.01,0.3,0.0,0.01,0.0,1287.4
0.03,0.09,15.2,12.3,0.63,3.97,0.04,0.01,0.01,0.37,0.0,0.01,0.0,1131.9
0.03,0.1,15.2,12.19,0.57,8.9,0.02,0.01,0.01,0.24,0.0,0.01,0.0,1228.9
0.03,0.04,15.0,12.29,0.55,5.85,0.03,0.01,0.01,0.27,0.0,0.01,0.0,1287.4
0.03,0.09,14.8,12.28,0.66,0.02,0.03,0.01,0.01,0.27,0.0,0.01,8.0,1081.1
0.03,0.1,14.6,12.0,0.51,6.3,0.04,0.01,0.01,0.32,0.0,0.01,0.0,1155.0
0.03,0.07,15.2,11.76,0.57,6.32,0.05,0.01,0.01,0.32,0.0,0.01,0.0,1133.4
0.03,0.11,0.01,11.9,0.68,1.76,0.02,0.01,2.38,0.25,0.0,0.33,0.0,1021.0
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1226.4
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1260.9
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1508.9
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1481.4
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1481.4
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1508.9
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1460.7
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1446.9
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1371.1
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1433.1
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1378.0
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1350.4
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1288.4
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1178.2
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1446.9
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1157.5
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1329.8
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1343.6
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1446.9
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1343.6
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1433.1
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1267.8
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1254.0
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1130.0
0.05,0.15,13.5,14.5,0.01,5.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,1371.1
